time,bestBidPrice,bestAskPrice,bestBidVolume,bestAskVolume
928.000000,9.30,9.31,1016.000000,549400.000000
929.000000,9.28,9.31,43016.000000,549400.000000
930.000000,9.28,9.31,33016.000000,551600.000000
931.000000,9.27,9.28,130300.000000,20384.000000
932.000000,9.27,9.28,130300.000000,20384.000000
933.000000,9.27,9.28,127100.000000,20384.000000
934.000000,9.27,9.28,113500.000000,20384.000000
935.000000,9.27,9.28,105400.000000,20384.000000
936.000000,9.27,9.28,99900.000000,20384.000000
937.000000,9.27,9.28,94300.000000,20384.000000
938.000000,9.27,9.28,80700.000000,19384.000000
939.000000,9.27,9.28,79800.000000,19384.000000
940.000000,9.27,9.28,47900.000000,19384.000000
941.000000,9.27,9.28,39900.000000,19384.000000
942.000000,9.27,9.28,27600.000000,18884.000000
943.000000,9.27,9.27,21000.000000,3000.000000
944.000000,9.27,9.27,20700.000000,3000.000000
945.000000,9.27,9.27,19800.000000,3000.000000
946.000000,9.27,9.27,7200.000000,12800.000000
947.000000,9.27,9.27,5200.000000,12800.000000
948.000000,9.27,9.27,8400.000000,24200.000000
949.000000,9.27,9.27,7600.000000,24200.000000
950.000000,9.27,9.27,7500.000000,24200.000000
951.000000,9.27,9.27,9700.000000,24000.000000
952.000000,9.27,9.27,8900.000000,25100.000000
953.000000,9.27,9.27,13600.000000,24600.000000
954.000000,9.27,9.27,18100.000000,18200.000000
955.000000,9.27,9.27,19900.000000,18200.000000
956.000000,9.27,9.27,24900.000000,18200.000000
957.000000,9.26,9.27,198300.000000,1000.000000
958.000000,9.26,9.28,190700.000000,18884.000000
959.000000,9.26,9.27,190700.000000,1000.000000
960.000000,9.26,9.27,195200.000000,1000.000000
961.000000,9.27,9.28,5100.000000,25184.000000
962.000000,9.26,9.28,183900.000000,25184.000000
963.000000,9.26,9.28,94100.000000,25184.000000
964.000000,9.27,9.28,2100.000000,25184.000000
965.000000,9.27,9.28,3100.000000,25184.000000
966.000000,9.27,9.28,97100.000000,25184.000000
967.000000,9.27,9.28,2100.000000,25184.000000
968.000000,9.27,9.28,22100.000000,25184.000000
969.000000,9.27,9.28,18800.000000,25184.000000
970.000000,9.27,9.28,8000.000000,24284.000000
971.000000,9.27,9.28,1400.000000,24284.000000
972.000000,9.27,9.27,103100.000000,2400.000000
973.000000,9.27,9.27,53000.000000,1700.000000
974.000000,9.27,9.27,52600.000000,1700.000000
975.000000,9.27,9.27,52600.000000,11600.000000
976.000000,9.27,9.28,18800.000000,24284.000000
977.000000,9.27,9.28,45900.000000,24284.000000
978.000000,9.27,9.28,1200.000000,24284.000000
979.000000,9.27,9.28,43500.000000,24284.000000
980.000000,9.27,9.28,44600.000000,24284.000000
981.000000,9.27,9.28,500.000000,24084.000000
982.000000,9.27,9.27,40000.000000,100.000000
983.000000,9.27,9.28,40800.000000,25084.000000
984.000000,9.27,9.28,1400.000000,25084.000000
985.000000,9.27,9.28,48500.000000,25084.000000
986.000000,9.27,9.28,49000.000000,25084.000000
987.000000,9.27,9.28,1800.000000,25084.000000
988.000000,9.27,9.28,38600.000000,25084.000000
989.000000,9.27,9.27,47300.000000,500.000000
990.000000,9.27,9.28,2400.000000,13484.000000
991.000000,9.27,9.28,20400.000000,35584.000000
992.000000,9.27,9.28,21000.000000,42984.000000
993.000000,9.27,9.28,21000.000000,49684.000000
994.000000,9.27,9.28,12200.000000,49684.000000
995.000000,9.27,9.28,103000.000000,53684.000000
996.000000,9.27,9.28,103000.000000,52684.000000
997.000000,9.27,9.28,86300.000000,53484.000000
998.000000,9.27,9.28,85700.000000,52384.000000
