id,time,valume,price
156,46.000000,1.000000,7480.10000
157,47.000000,1.000000,7547.10000
158,47.000000,1.000000,7548.90000
159,47.000000,1.000000,7480.10000
160,48.000000,1.000000,7553.10000
161,48.000000,1.000000,7546.10000
162,48.000000,1.000000,7553.10000
163,49.000000,1.000000,7527.10000
164,49.000000,1.000000,7524.10000
165,50.000000,1.000000,7553.10000
166,50.000000,1.000000,7552.10000
167,50.000000,1.000000,7553.10000
168,51.000000,1.000000,7555.10000
169,51.000000,1.000000,7556.10000
170,51.000000,1.000000,7518.10000
171,52.000000,1.000000,7537.10000
172,52.000000,1.000000,7557.10000
173,53.000000,1.000000,7549.10000
174,53.000000,1.000000,7558.10000
175,53.000000,1.000000,7495.10000
176,54.000000,1.000000,7520.10000
177,55.000000,1.000000,7538.10000
